"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.182? Tell 134.114.109.1"
"2","0.000003","134.114.109.50","224.0.0.251","MDNS","366","Standard query 0x0000 PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR egrm308-01._afpovertcp._tcp.local PTR ICPNAS1._afpovertcp._tcp.local PTR Dr.\\342\\200\\231s Mac mini._afpovertcp._tcp.local PTR egrm308-01._smb._tcp.local PTR ICPNAS1._smb._tcp.local PTR Dr.\\342\\200\\231s Mac mini._smb._tcp.local PTR cmp1828._rfb._tcp.local PTR Math172m-01._rfb._tcp.local PTR Chase\\342\\200\\231s Mac mini._rfb._tcp.local PTR egrm308-01._rfb._tcp.local"
"3","0.000005","fe80::1e:f17e:51b:9445","ff02::fb","MDNS","386","Standard query 0x0000 PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR egrm308-01._afpovertcp._tcp.local PTR ICPNAS1._afpovertcp._tcp.local PTR Dr.\\342\\200\\231s Mac mini._afpovertcp._tcp.local PTR egrm308-01._smb._tcp.local PTR ICPNAS1._smb._tcp.local PTR Dr.\\342\\200\\231s Mac mini._smb._tcp.local PTR cmp1828._rfb._tcp.local PTR Math172m-01._rfb._tcp.local PTR Chase\\342\\200\\231s Mac mini._rfb._tcp.local PTR egrm308-01._rfb._tcp.local"
"4","0.018253","Cisco_7c:7f:07","CDP/VTP/DTP/PAgP/UDLD","UDLD","112","Device ID: FOC1629Y2RL  Port ID: Gi1/0/7  "
"5","0.038888","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.120? Tell 134.114.109.1"
"6","0.038891","fe80::21af:ab7e:273:917b","ff02::fb","MDNS","133","Standard query response 0x0000 AAAA, cache flush fe80::21af:ab7e:273:917b"
"7","0.082598","134.114.109.55","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"8","0.208937","10.30.16.131","224.0.1.129","PTPv2","100","Delay_Resp Message"
"9","0.208939","Cisco_a3:bf:f1","Broadcast","ARP","60","Who has 134.114.109.232? Tell 134.114.109.1"
"10","0.208940","LgElectr_ee:00:a0","Broadcast","ARP","60","Who has 10.5.109.57? Tell 10.5.109.54"
"11","0.208941","134.114.109.113","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
